ms	dht12_Temperature	dht12_Humidity	bme_Pressure	bme_Temperature	bme_altitute_1	bme_altitute_2	sht30_Temperature	sht30_Humidity	qmp_Pressure	qmp_altitute
11372	 21.360	 33.990	99700.359	 23.049	140.328	139.528	 22.245	 45.716	99606.266	148.136
41390	 20.760	 28.730	99713.188	 22.000	138.717	138.135	 21.408	 33.054	99611.180	147.290
71408	 19.240	 25.750	99717.016	 20.333	137.602	137.090	 19.876	 33.708	99612.797	146.383
101425	 17.560	 25.950	99725.172	 18.860	136.211	135.604	 18.414	 35.827	99615.922	145.385
131446	 15.740	 26.810	99727.625	 17.057	135.160	134.546	 16.852	 38.053	99618.711	144.368
161462	 14.310	 27.750	99732.664	 15.761	134.128	133.455	 15.479	 40.993	99621.742	143.426
191479	 13.060	 29.030	99737.570	 14.857	133.293	132.461	 14.352	 43.580	99623.219	142.741
221496	 11.940	 30.280	99738.906	 13.882	132.728	131.830	 13.259	 46.115	99624.891	142.057
251514	 10.890	 31.610	99741.539	 12.946	132.075	131.125	 12.302	 49.054	99626.484	141.449
281530	  9.950	 32.490	99746.273	 12.084	131.279	130.297	 11.331	 51.463	99627.484	140.883
311550	  8.960	 33.520	99750.055	 11.321	130.611	129.527	 10.551	 54.208	99628.805	140.387
341567	  8.030	 34.510	99753.445	 10.576	129.986	128.819	  9.764	 56.893	99630.938	139.820
371584	  7.270	 37.460	99751.578	  9.981	129.869	128.626	  9.154	 59.224	99630.688	139.539
401601	  6.670	 39.310	99753.922	  9.499	129.453	128.158	  8.665	 61.356	99632.312	139.163
431618	  6.180	 42.600	99760.172	  9.054	128.730	127.419	  8.228	 63.113	99633.188	138.874
461635	  5.700	 43.760	99759.656	  8.719	128.620	127.243	  7.909	 64.504	99633.586	138.684
491655	  5.390	 47.960	99761.617	  8.484	128.350	126.940	  7.683	 65.866	99633.961	138.542
521672	  5.220	 48.940	99761.414	  8.330	128.297	126.880	  7.548	 66.686	99635.680	138.333
551689	  5.020	 52.040	99760.109	  8.114	128.306	126.895	  7.377	 67.299	99635.414	138.270
581706	  4.910	 53.440	99758.508	  7.968	128.372	126.976	  7.247	 68.027	99635.219	138.222
611723	  4.800	 55.120	99761.109	  7.883	128.119	126.713	  7.144	 68.471	99635.672	138.134
641743	  4.680	 55.440	99762.797	  7.787	127.936	126.521	  7.057	 68.960	99636.781	137.999
671760	  4.560	 57.940	99765.180	  7.732	127.713	126.271	  6.988	 69.590	99634.750	138.133
701777	  4.500	 59.160	99764.062	  7.670	127.778	126.335	  6.914	 70.025	99635.695	138.018
731794	  4.410	 60.410	99760.875	  7.562	127.992	126.554	  6.831	 70.522	99634.258	138.096
761811	  4.360	 61.600	99760.281	  7.520	128.022	126.580	  6.791	 71.061	99632.680	138.206
791828	  4.310	 62.500	99760.312	  7.517	128.018	126.555	  6.769	 71.419	99631.469	138.295
821848	  4.250	 62.950	99759.094	  7.480	128.101	126.627	  6.724	 71.406	99630.055	138.390
851865	  4.250	 62.790	99757.781	  7.426	128.185	126.734	  6.671	 71.628	99630.312	138.342
881882	  4.210	 62.910	99757.547	  7.410	128.197	126.735	  6.640	 71.732	99630.016	138.352
911899	  4.180	 65.220	99759.156	  7.410	128.064	126.590	  6.636	 72.255	99630.125	138.341
941916	  4.180	 66.170	99756.891	  7.405	128.249	126.774	  6.625	 72.479	99628.477	138.471
971933	  4.200	 66.930	99760.555	  7.356	127.924	126.485	  6.614	 72.439	99629.891	138.349
1001953	  4.180	 67.460	99758.336	  7.317	128.090	126.657	  6.574	 72.625	99628.633	138.433
